Small dictionary from THU, with frequency data.
守望相助,FREQ:3898;
鼓舞人心,FREQ:3891;
三五成群,FREQ:3873;
铿锵有力,FREQ:3871;
接踵而来,FREQ:3862;
勤工俭学,FREQ:3859;
赏心悦目,FREQ:3858;
夜以继日,FREQ:3850;
起早贪黑,FREQ:3846;
爱不释手,FREQ:3845;
手足无措,FREQ:3844;
一分为二,FREQ:3842;
不可多得,FREQ:3841;
喜出望外,FREQ:3841;
口口相传,FREQ:3822;
只争朝夕,FREQ:3816;
气喘吁吁,FREQ:3793;
猝不及防,FREQ:3787;
不甘示弱,FREQ:3784;
亡羊补牢,FREQ:3783;
意气风发,FREQ:3781;
摩拳擦掌,FREQ:3777;
喜怒哀乐,FREQ:3776;
千差万别,FREQ:3776;
酸甜苦辣,FREQ:3773;
惟妙惟肖,FREQ:3772;
自相矛盾,FREQ:3765;
中流砥柱,FREQ:3760;
真相大白,FREQ:3754;
早出晚归,FREQ:3751;
繁荣昌盛,FREQ:3745;
异口同声,FREQ:3745;
喜气洋洋,FREQ:3732;
大是大非,FREQ:3726;
自食其力,FREQ:3724;
言传身教,FREQ:3721;
浴血奋战,FREQ:3716;
充满生机,FREQ:3716;
大惊小怪,FREQ:3700;
转危为安,FREQ:3695;
见缝插针,FREQ:3691;
平易近人,FREQ:3687;
古今中外,FREQ:3679;
怨声载道,FREQ:3673;
人声鼎沸,FREQ:3667;
千里迢迢,FREQ:3661;
融会贯通,FREQ:3655;
整装待发,FREQ:3654;
得心应手,FREQ:3642;
守土有责,FREQ:3639;
破口大骂,FREQ:3637;
不可磨灭,FREQ:3632;
永无止境,FREQ:3626;
令人咋舌,FREQ:3624;
犹豫不决,FREQ:3624;
火眼金睛,FREQ:3616;
袖手旁观,FREQ:3614;
苦口婆心,FREQ:3611;
游刃有余,FREQ:3604;
始终不渝,FREQ:3581;
发家致富,FREQ:3576;
耿耿于怀,FREQ:3562;
油然而生,FREQ:3561;
害群之马,FREQ:3557;
伤痕累累,FREQ:3556;
权宜之计,FREQ:3549;
背井离乡,FREQ:3546;
支离破碎,FREQ:3544;
皆大欢喜,FREQ:3544;
大名鼎鼎,FREQ:3537;
合二为一,FREQ:3518;
风吹草动,FREQ:3516;
依依不舍,FREQ:3515;
秋高气爽,FREQ:3513;
挺身而出,FREQ:3512;
掩人耳目,FREQ:3500;
姗姗来迟,FREQ:3496;
实至名归,FREQ:3493;
事与愿违,FREQ:3493;
翩翩起舞,FREQ:3486;
名目繁多,FREQ:3483;
凤毛麟角,FREQ:3480;
忍气吞声,FREQ:3475;
耳濡目染,FREQ:3468;
天伦之乐,FREQ:3462;
一气呵成,FREQ:3462;
千载难逢,FREQ:3457;
满目疮痍,FREQ:3452;
堆积如山,FREQ:3450;
一无所有,FREQ:3446;
追根溯源,FREQ:3446;
精神抖擞,FREQ:3444;
人心惶惶,FREQ:3440;
朝夕相处,FREQ:3438;
当仁不让,FREQ:3437;
不依不饶,FREQ:3421;
设身处地,FREQ:3419;
名胜古迹,FREQ:3417;
血肉模糊,FREQ:3417;
焦头烂额,FREQ:3414;
无缘无故,FREQ:3411;
日积月累,FREQ:3408;
旷日持久,FREQ:3398;
不胫而走,FREQ:3393;
忍俊不禁,FREQ:3384;
成群结队,FREQ:3379;
接连不断,FREQ:3376;
无稽之谈,FREQ:3373;
债台高筑,FREQ:3370;
因材施教,FREQ:3368;
居安思危,FREQ:3366;
手忙脚乱,FREQ:3366;
轻重缓急,FREQ:3361;
应接不暇,FREQ:3360;
矢志不渝,FREQ:3355;
触手可及,FREQ:3349;
发人深省,FREQ:3344;
破门而入,FREQ:3343;
异曲同工,FREQ:3343;
自言自语,FREQ:3340;
左邻右舍,FREQ:3331;
乐在其中,FREQ:3322;
以身试法,FREQ:3311;
养家糊口,FREQ:3310;
众矢之的,FREQ:3309;
心平气和,FREQ:3300;
若隐若现,FREQ:3288;
繁荣富强,FREQ:3288;
哗众取宠,FREQ:3285;
纵横交错,FREQ:3281;
空穴来风,FREQ:3273;
